Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
86.12-2-5,88,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1800,,Federal,1.5,stone,stone,wood clapbd,,gable,asphalt,stone,1-story rear porch; front porch; basement-level solarium,entrance,intact,intact,intact,Yes,No,"full-length windows on f.f.; clapbd on gable ends; 6-over-6 windows; brick endwall chimneys; exposed basement on S. side; porch is a shed roof canopy; shed roof dormers are a historical addition, though windows are altered","NOTABLE; Benjamin Hasbrouck house; listed as ""unfinished"" in 1798 Tax Records; original Dutch barn was located across road (now demolished)",smokehouse,c1800,stone,S. side of property,shed,,
86.12-2-50,26,Apple Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,3-part pic window; porch is roof overhang over recessed door; brick center chimney; 1-stall attached garage,,chicken house,c1980,wood frame,,shed,c1990,decor. wishing well in front yard w/stone base; variety of fruit treas; mature Blue spruce in front yard; 2 stone piers w/lanterns flank driveway entrance
86.12-2-58.100,33,South Putt Corners Rd,Single Family Residence,Domestic,Single Dwelling,1908,1950,Colonial Revival,2,wood frame,wood clapbd,,metal clapbd,gable,asphalt,stone,extension off side bay,entrance,intact,altered,altered,Yes,No,3 bay/center entrance; spindled braces on fr. porch; 1-story side bay w/hipped roof & extension off it; rear roof extended over rear ell for 1/2 of house width,,garage,c1950,concrete block,front gable; double stall; wood clapbd,,,split rail fence along front property line
86.12-2-58.200,47,South Putt Corners Rd,Single Family Residence,Domestic,Single Dwelling,1877,,Italianate,2,wood frame,wood clapbd,,,gable,asphalt,stone,screened porch,3/4 front,intact,intact,intact,Yes,No,"5 bay; kitchen wing w/horiz. attic windows & screened porch extension; 1-story side ell w/tall brick endwall chimney; 2nd brick endwall chimney other side; double bracketed roof eave, pendants on brackets; fr. door surround w/transom & sidelights; 2-over-","NOTABLE; 3 interconnected barns, garage & outhouse; listed in 1915 real estate catalog as a 105 acre farm w/750 fruit trees (apples, pears, peaches; plum & cherries, grapes); Wm P. Menswerth sold 80A farm to Frank L. Cicero in 1945",barns,c1880,wood frame,"main barn is 2-story gable; a 1.5-story front gable barn attached to W. end of main barn, a 1.5-story barn attached to E. end; all have wood clapbd. siding, ssm roofs; a 2-stall garage extends from W. barn; cupola",privy,c1877,low stone wall between house and barns; 5 mature coniferous & deciduous trees surround house; apple orchards around farm; circular drive in front of house
86.1-2-26,7,Julia Av,Single Family Residence,Domestic,Single Dwelling,1955,1980,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,2nd fl. prefab solarium over 1st fl. deck; front entrance deck,,N/A,intact,altered,Yes,No,"3 bay; center entrance; 3-part bay/pic window; large, stepped brick endwall chimney",,garage,c1990,wood frame,prefab gambrel roof,,,
86.12-2-6,90,Rte 32 South,Church,Religion,Religious Facility,1965,2001,Modern,1,wood frame,brick veneer,,,hipped,asphalt,concrete block,front chapel wing,,,,altered,No,No,Post-modern chapel addition,,garage,,wood frame,,,,
86.12-2-61,2,College Av,Single Family Residence,Domestic,Single Dwelling,1950,1975,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,front vestibule;  garage converted to living space; new garage wing,entrance,enclosed,intact,intact,Yes,No,3-part pic window orig. 1-stall tuck-under,appears to be used for student housing,shed,c1975,wood frame,B&B siding,,,mature coniferous trees along front property line
86.12-2-63,3,Rita St,Single Family Residence,Domestic,Single Dwelling,1959,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,cross-gable,asphalt,concrete block,,entrance,intact,replaced,altered,Yes,No,3-part pic window w/multiple panes; porch is roof overhang; 6-over-6 windows; attached 1-stall garage; brick chimney; stone stoop,,shed,c1990,wood frame,prefab gambrel roof w/wood clapbd,,,
86.12-2-7,94,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1954,,Cape,1,wood frame,brick veneer,stone & wood clapbd,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,3 bay/center entrance; 2 3-part pic windows (1 is bay window); projecting front gabled bay; stone veneer on foundation & under bay window; fr. porch is roof overhang w/support posts; rear porch is gabled canopy w/support posts; rear shed roof dormer; brick chimney,,shed/chicken coop,c1955,wood frame,shed roof; wood novelty siding,,,stone retaining wall
86.12-2-8,96,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,brick piers & massive front wall chimney; corner windows; wood shutters w/decor. cut-out; 1-stall garage attached to house w/open breezeway,,shed,c1980,wood frame,,,,
86.12-2-9,98,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1950,,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,,N/A,mixed,intact,Yes,No,3 bay/center entrance; 3-part pic window; window blinds; large brick endwall chimney on N.; 1-stall garage attached to house w/enclosed breezeway,,,,,,,,circular driveway
86.1-2-3,7,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1965,1990,Ranch,1,wood frame,brick veneer,,,cross-gable,asphalt,concrete block,1-story side/rear ell,entrance,intact,intact,intact,Yes,No,"3-part pic window; rear tuck-under garage; brick chimney; side/rear ell has wood clapbd. siding, hipped roof, porch is roof overhang",,shed,c1990,wood frame,prefab; gabrel roof,,,
86.12-3-10,11,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1961,1980,Ranch,1,wood frame,compos- ition clapbd,,vertical wood & metal clapbd,gable,asphalt,concrete block,rear bump-out/extension; side ell,entrance,intact,intact,intact,Yes,No,3-part pic window; projecting gabled front bay; rear 1-stall tuck-under garage w/2nd stall in side ell extension w/sunporch above; fr. porch is a roof overhang w/1 post; window blinds,,,,,,,,
86.12-3-12,12,Cherry Hill Rd,Multi-Family Residence,Domestic,Single Dwelling,1960,1980,Ranch,1,wood frame,compos- ition clapbd,,,gable,asphalt,concrete block,multiple extensions,,N/A,mixed,intact,Yes,No,4 bay asymm. f.f; 1-stall attached carport; pic window,,,,,,,,
86.12-3-13,14,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,compos- ition clapbd,,vertical wood,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,4-part pic window w/vertical muntins; side ell w/roof extension,,carport,c1970,wood frame,,,,fence on S side of house
86.12-3-14,16,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,asbestos shingles,,,hipped,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; 1stall attached garage; center chimney; box window w/hipped roof right of pic window,,,,,,,,
86.12-3-15,18,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1959,,Raised Ranch,1.5,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,full front,intact,replaced,altered,Yes,No,attached double garage w/paneled door in side ell; window blinds,,,,,,,,
86.12-3-17,22,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1959,1970,Split Level,1.5,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,carport; rear ell; skylight,1/2 front,intact,intact,altered,Yes,No,3-part pic window; fr. porch is shallow roof overhang; decor. shutters,,,,,,,,
86.12-3-18,24,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,board & batten,vertical wood (partial),gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,front porch is shallow roof overhang; 1-stall attached carport,,,,,,,,
86.12-3-19,26,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,,N/A,replaced,altered,Yes,No,bow/pic window w/vertical muntins; pic window on side of house; conc. bl. center chimney,,shed,c1980,wood frame,gambrel roof prefab.,,,
86.1-2-32,66,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1959,1980,Split Level,1.5,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,garage converted to living space; double garage side extension; 2-story side ell,1/2 front,intact,intact,altered,Yes,No,3-part pic window; louvered window blinds; 2 brick chimneys,,,,,,,,
86.12-3-2,11,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1964,1985,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,vinyl clapbd (partial),gable,asphalt,concrete block,sm. octagonal window installed over front door,entrance,intact,intact,intact,Yes,No,4-light pic window; front door w/sidelights; porch is roof overhang/recessed door; brick kneewall; 2-stall side tuck-under garage; brick endwall chimney & sm. brick center chimney,,,,,,,,
86.12-3-20,20,Apple Rd,Single Family Residence,Domestic,Single Dwelling,1960,1990,Ranch,1,wood frame,brick veneer,wood clapbd,metal clapbd (partial),gable,asphalt,concrete block,garage ell,full front,intact,intact,intact,Yes,No,3-part pic window; window blinds; front porch is shallow roof overhang; set back side ell; garage ell has o.h. doors replaced,,,,,,,,
86.12-3-20,20,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,board & batten,comp clapbd,,gable,asphalt,concrete block,rear ell screened porch,full front,intact,intact,intact,Yes,No,3-part pic window; orig. attached garage appears to have been converted to living space very early; fr. porch is shallow roof overhang,,shed,c1970,wood frame,plywood; shed roof,,,
86.12-3-21,9,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,1980,Cape,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,rear dormer; solar panels,entrance,intact,intact,intact,Yes,No,3 bay; center entrance; 3-part pic window; 2 gabled front dormers & 1 shed-roof rear dormer; brick endwall chimney; 1-story side ell w/cross-gable; 1-stall rear tuck-under garage,,,,,,,,
86.12-3-22,16,Apple Rd,Single Family Residence,Domestic,Single Dwelling,1965,,Cape,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,skylight,entrance,intact,intact,intact,Yes,No,"4 bay/center entrance (2 windows left of door, 3-part pic window to right); 1-story side ell; brick chimney between main house & side ell; front porch has gabled canopy w/barrel vault & 2 fluted posts; side porch is cantilevered gabled canopy",,shed,c1990,wood frame,,misc. small sheds,,stone wall
86.12-3-23,14,Apple Rd,Mixed Use: SFR & Comm,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,vertical wood boards,,,gable,asphalt,concrete block,attached 1-stall garage converted to commercial space,,N/A,intact,intact,Yes,No,3-part pic window,converted garage space used for beauty parlor,shed,c1990,wood frame,gable prefab,,,mature Blue spruce in front yard
86.12-3-25,2,Plum St,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,side porch; garage wing,full front,intact,mixed,altered,Yes,No,4 bay asymm. f.f.; wide overhanging eaves; front porch is roof overhang; side porch added; bow windows; decor. shutters; center chimney; 2-stall garage extension to side may be conversion of orig. carport,"""National Home""",shed,c1990,wood frame,prefab gambrel,,,decor. wishing well in yard
86.12-3-28,2-4,Cherry Hill Rd,Commercial,Domestic,Single Dwelling,1952,1960  1986,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,large 1-story commercial/retail side/rear extension + 2-story add. off it,entrance,intact,intact,altered,Yes,No,3 bay; center entrance; fr. porch is a projecting gabled canopy; 3-part pic window; endwall chimney; rear vestibule,Part of True Value Hardware retail store complex,,,,,,,
86.12-3-3,25,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Split Level,1,wood frame,brick veneer,asbestos shingles,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; fr. porch is shallow roof overhang; rear 2-stall tuck-under garage in rear ell w/window wall above (horiz. muntin pattern),,she,c1970,wood frame,,,,
86.12-3-34,17,Apple Rd,Multi-Family Residence,Domestic,Single Dwelling,1952,,Split Level,2,wood frame,compos- ition clapbd,,,gable,asphalt,concrete block,2nd story added to main level; carport converted to enclosed/attached garage,1/2 front,intact,intact,intact,Yes,No,front porch is roof overhang; 2 conc. bl. chimneys,"""National Home"" (early modular); no longer appears to be split level",shed,c1980,wood frame,,,,
86.12-3-36,19,Apple Rd,Single Family Residence,Domestic,Single Dwelling,1957,1970,Ranch,1 / 2,wood frame,vertical wood boards,,,gable,asphalt,concrete block,2nd story; garage converted to living space,full front,intact,intact,altered,Yes,No,"pic window w/tripartite light, vertical muntins; garage ell w/flat roof; brick chimney; 2nd story addition has asymm. gable roof; porch is shallow roof overhang",,shed,c1957,wood frame,vertical wood cladding; door intact,,,
86.12-3-37,31,South Putt Corners Rd,Single Family Residence,Domestic,Single Dwelling,1908,1950  1970,Queen Anne,2,wood frame,wood clapbd,,metal clapbd,cross-gable,asphalt,concrete block,,full front,altered,mixed,altered,Yes,No,window blinds,front porch has been rebuilt; no orig. arch. details remain,garage,c1950,wood frame,front gable,garage/apt.,c1980,wood 6-sided gazebo; mature coniferous trees throughout property; split-rail fence along front prop. line
86.12-3-4,23,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,1980,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,orig. attached garage converted to living space,entrance,intact,intact,intact,Yes,No,3-part pic window; fr. porch is recessed entrance w/roof overhang; side canopy over basement entrance,,,,,,,,conc. bl. retaining wall
86.12-3-5,21,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,1980,Ranch,1,wood frame,asbestos shingles,vertical wood,vinyl clapbd,gable,asphalt,concrete block,rear ell,full front,intact,intact,intact,Yes,No,3-part pic window + 2 small 2-part pic windows; attached 1-stall garage w/rof overhang; fr. porch is shallow roof overhang; brick pier & planter beside fr. door,,,,,,,,
86.12-3-6,19,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,3-part pic window & 2 small 3-part pic windows; massive brick chimney at right angle to f.f.; rear tuck-under garage,,,,,,,,
86.1-2-36.200,106,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1850,,Greek Revival,1.5,wood frame,wood clapbd,wood shingle,,gable,asphalt,stone + brick,,full front,intact,intact,intact,Yes,No,4-bay main house w/Greek Revival kitchen wing; 3 gabled dormers on front & 2 on rear (downhill side),NOTABLE; H. Vanderlyn homestead on 1876 map,barn,c1850,wood frame,2-story; plank siding; ssm roofing; rear extension toward wood-sided silo; front 1-story lean-to; 2 shed roof side ells,silo,c1850,farm now being subdivided
86.1-2-37,12,Butterville Rd,Single Family Residence,Domestic,Single Dwelling,1951,1970,Cape,1,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,2-story garage wing,entrance,intact,mixed,intact,Yes,No,"3 bay; center entrance; 3-part pic window; brick endwall chimney; louvered window blinds; 2-story garage wing (w/2-stalls cut corner o.h. doors) attached to house w/2-story hyphen, wing has skylights on S side roof",,,,,,,,
86.12-3-7,17,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,3-part pic window; gabled projecting front bay w/front porch (gabled canopy w/braces); rear tuck-under garage,,,,,,,,low rubble stone wall in front of house
